ID,LOCUS_OF_CONTROL,SELF_CONCEPT,MOTIVATION,READ,WRITE,MATH,SCIENCE,FEMALE
316,1.3600000143,0.8700000048,1,36.299999237,43.700000763,37.200000763,41.700000763,1
317,0.0199999996,-1.049999952,0.3300000131,60.099998474,64.5,61.200000763,60.700000763,1
318,-0.439999998,-0.469999999,0.3300000131,38.900001526,46.299999237,41.900001526,41.700000763,1
319,-0.439999998,-0.550000012,0.3300000131,46.900001526,38.5,47.099998474,41.700000763,0
320,0.2199999988,0.0299999993,0.6700000167,60.099998474,41.700000763,52,52.599998474,0
321,-0.910000026,-0.589999974,0.6700000167,44.200000763,39.099998474,46.299999237,36.299999237,0
322,-0.839999974,-0.569999993,0.3300000131,33.599998474,33.299999237,41,36.299999237,0
323,0.6600000262,0.3400000036,0.3300000131,33.599998474,38.5,42.900001526,47.099998474,0
324,0.9399999976,0.0299999993,1,68,56.700000763,59.599998474,58,1
325,-0.649999976,0.0299999993,0.3300000131,41.599998474,39.099998474,42.299999237,41.700000763,1
326,1.1299999952,0.0299999993,0.3300000131,45.799999237,41.700000763,43.099998474,53.599998474,0
327,1.3600000143,0.6299999952,1,68,64.5,58.900001526,63.400001526,1
328,0.2199999988,0.0299999993,0.3300000131,52.099998474,54.700000763,49.5,53.599998474,1
329,-0.430000007,0.0299999993,1,52.099998474,44.299999237,53.099998474,58,0
330,0.2800000012,-0.059999999,0.3300000131,44.200000763,30.700000763,35.299999237,47.099998474,0
331,-1.99000001,0.0299999993,0,39.400001526,54.099998474,38.700000763,47.099998474,1
332,-0.400000006,0.0299999993,0,44.200000763,33.299999237,47.799999237,44.400001526,0
333,-0.029999999,-0.159999996,0,33.599998474,43.700000763,42.599998474,47.099998474,0
334,0.0799999982,-0.239999995,0.3300000131,52.099998474,59.299999237,48,55.299999237,1
335,0.4600000083,0.3400000036,0.6700000167,62.700000763,61.900001526,52.900001526,44.400001526,1
336,0.0599999987,0.0299999993,0.6700000167,41.599998474,39.099998474,56.299999237,45,0
337,-0.389999986,-0.280000001,0.6700000167,44.200000763,51.5,51.099998474,63.400001526,0
338,0.2599999905,-0.25999999,0,49.5,56.700000763,43.799999237,47.099998474,1
339,0.4600000083,0.0299999993,1,70.699996948,56.700000763,51.299999237,71.5,0
340,0.4699999988,0.0099999998,1,68,64.5,61.5,55.299999237,0
341,0.7099999785,0.0299999993,1,68,61.900001526,72.199996948,66.099998474,1
342,-0.159999996,-0.469999999,0.6700000167,36.299999237,61.900001526,52.200000763,39,1
343,-0.370000005,-0.469999999,0.6700000167,41.599998474,48.900001526,42.599998474,49.799999237,0
344,0.2700000107,-2.519999981,0.3300000131,38.900001526,32,35.299999237,46.599998474,1
345,0.7099999785,0.3400000036,0.6700000167,52.099998474,41.099998474,51.299999237,60.700000763,0
346,0.4600000083,0.0299999993,0.6700000167,57.400001526,59.299999237,53.900001526,49.799999237,1
347,0.2800000012,0.0299999993,0.6700000167,62.700000763,67.099998474,65.599998474,61.799999237,1
348,0.4600000083,0.0299999993,1,65.400001526,51.5,61.400001526,60.700000763,1
349,-1.5,0.0299999993,0.6700000167,33.599998474,48.900001526,38.599998474,42.299999237,0
350,-0.409999996,0.2800000012,0.3300000131,46.900001526,35.900001526,42.599998474,58,0
351,0.3199999928,0.8999999762,0.6700000167,52.099998474,59.299999237,58.099998474,47.099998474,1
352,0.3199999928,0.6499999762,1,54.799999237,61.900001526,58.099998474,58,1
353,-0.209999993,-1.129999995,0,38.900001526,41.099998474,43.599998474,55.299999237,0
354,-0.600000024,-1.179999948,0.6700000167,54.799999237,59.299999237,68,49.299999237,1
355,-0.400000006,-0.889999986,0.3300000131,41.599998474,56.700000763,45,50.400001526,1
356,-0.889999986,-1.289999962,0.3300000131,60.099998474,64.5,41,52.599998474,1
357,0.0599999987,-0.280000001,1,65.900001526,64.5,54.599998474,60.700000763,1
358,0.4499999881,0.0299999993,1,62.700000763,51.5,54.400001526,49.799999237,1
359,0.2199999988,0.3199999928,1,49.5,56.700000763,62.799999237,49.799999237,0
360,0.7099999785,0.2800000012,1,60.099998474,64.5,63,68.800003052,1
361,0.9100000262,0.3400000036,1,68,59.299999237,53,63.400001526,1
362,0,0.6499999762,1,54.799999237,64.5,51.099998474,49.799999237,0
363,-0.379999995,0.0299999993,1,38.900001526,41.700000763,37.700000763,44.400001526,0
364,-0.159999996,-2.579999924,1,52.099998474,59.299999237,58.099998474,52.599998474,1
365,-1.100000024,-0.280000001,0.6700000167,38.900001526,41.099998474,45.900001526,47.099998474,1
366,0.9300000072,0.0299999993,1,65.900001526,67.099998474,70.5,52.599998474,1
367,0.6999999881,-0.159999996,0.3300000131,68,59.299999237,55.700000763,63.400001526,0
368,-0.449999988,-0.25999999,0,38.900001526,35.900001526,44.200000763,55.299999237,0
369,0.0199999996,-2.029999971,0.6700000167,38.900001526,59.299999237,39.5,39,1
370,-0.189999998,-2.579999924,0,41.599998474,54.099998474,41,41.700000763,1
371,0.9100000262,-0.469999999,0.6700000167,44.200000763,41.099998474,50.5,58,0
372,0.0900000036,-1.419999957,0.3300000131,52.099998474,61.900001526,59.599998474,58,0
373,0,0.6499999762,1,68,64.5,58.299999237,58.5,1
374,0.6999999881,-0.159999996,1,49.5,61.900001526,50.900001526,46.099998474,0
375,-0.600000024,0.5600000024,0.3300000131,36.299999237,43.700000763,44.299999237,47.099998474,0
376,-1.330000043,0.0299999993,0.6700000167,41.599998474,30.700000763,56.900001526,47.099998474,0
377,-0.159999996,0.0299999993,1,57.400001526,57.299999237,64,58,1
378,0.4600000083,0.6499999762,1,68,54.099998474,63,63.400001526,0
379,-0.330000013,0.3799999952,0.6700000167,62.700000763,59.299999237,56.5,55.299999237,0
380,0.25,0.0299999993,0.6700000167,49.5,51.5,55.5,44.400001526,1
381,0.2199999988,-0.569999993,1,61.099998474,67.099998474,64.5,50.400001526,1
382,0.2199999988,1.1900000572,0.3300000131,38.900001526,33.299999237,37.700000763,47.099998474,0
383,0.2700000107,0.0299999993,0.6700000167,46.900001526,56.700000763,63.799999237,55.299999237,1
384,-2.230000019,1.1900000572,0.3300000131,44.200000763,38.5,41.200000763,49.799999237,0
385,-0.379999995,0.3700000048,0.6700000167,44.200000763,43.700000763,46.099998474,47.099998474,1
386,0.0599999987,0.6499999762,0.3300000131,47.400001526,64.5,53.900001526,55.799999237,1
387,0.8899999857,0.8799999952,1,52.099998474,59.299999237,64,61.200000763,1
388,1.1299999952,0.0299999993,0.3300000131,43.200000763,54.099998474,54.799999237,55.299999237,1
389,-1.019999981,-1.669999957,0.6700000167,45.299999237,43,52.299999237,60.700000763,1
390,0.4499999881,0.0299999993,0.6700000167,60.099998474,61.900001526,51.900001526,53.099998474,1
391,0.0599999987,0.6499999762,0,65.400001526,59.299999237,56.799999237,46.099998474,1
392,-1.74000001,0.6100000143,0.3300000131,45.799999237,34.599998474,37.900001526,39,0
393,-1.299999952,0.1299999952,0.3300000131,44.200000763,41.099998474,51.799999237,47.099998474,0
394,0.4600000083,0.0299999993,0,73.300003052,61.900001526,73.099998474,68.800003052,0
395,0.5500000119,-0.239999995,0.6700000167,46.900001526,56.700000763,54.599998474,47.099998474,1
396,-0.680000007,0.0299999993,0.3300000131,38.900001526,38.5,41.200000763,39,1
397,0.25,-0.25999999,0.3300000131,49.5,30.700000763,40.299999237,33.599998474,0
398,0.9599999785,0.9399999976,0.6700000167,46.900001526,50.200000763,46.5,47.099998474,1
399,-0.239999995,0.0299999993,0.6700000167,45.799999237,54.099998474,49.5,47.099998474,1
400,-0.400000006,0.6499999762,0.6700000167,44.200000763,43.700000763,38.599998474,33.599998474,0
401,-0.400000006,0.0299999993,1,44.200000763,54.099998474,59.299999237,58,1
402,0.9300000072,0.6499999762,1,62.700000763,59.299999237,71.300003052,68.800003052,1
403,0,0.3400000036,1,62.700000763,59.900001526,65.400001526,53.599998474,1
404,-0.379999995,-0.469999999,0.6700000167,62.700000763,43.700000763,44.700000763,52.599998474,1
405,0.200000003,0.5600000024,0.6700000167,60.099998474,52.799999237,51.5,58,0
406,0.7300000191,0.0299999993,1,65.400001526,59.299999237,69.599998474,63.400001526,0
407,0.0599999987,0.0299999993,1,43.200000763,47.599998474,45.599998474,47.099998474,1
408,-0.449999988,-0.600000024,0.6700000167,52.099998474,59.900001526,49.5,48.799999237,0
409,1.1299999952,0.0299999993,0.6700000167,62.700000763,64.5,64.5,52.599998474,1
410,-0.180000007,-1.090000033,0.6700000167,62.700000763,56.700000763,58.799999237,71.5,1
411,0.3199999928,0.2800000012,0.6700000167,62.700000763,63.200000763,68.900001526,74.199996948,0
412,0.6600000262,-0.600000024,0,42.599998474,56.700000763,40.299999237,49.799999237,1
413,0.5099999905,0.0299999993,0.3300000131,60.099998474,51.5,53.900001526,63.400001526,1
414,0.0799999982,0.0299999993,1,54.799999237,67.099998474,47.400001526,49.799999237,1
415,0.4600000083,-0.860000014,1,68,59.299999237,60.5,55.299999237,1
416,1.1100000143,-0.090000004,0,44.200000763,48.900001526,48,49.799999237,0
417,0.0700000003,0.3400000036,1,65.400001526,59.299999237,51.200000763,60.700000763,1
418,-0.889999986,0.5600000024,0.3300000131,44.200000763,41.099998474,40.299999237,49.799999237,0
419,-0.189999998,0.0299999993,0.3300000131,54.799999237,51.5,42.799999237,60.700000763,0
420,-0.270000011,0.9399999976,0,44.700000763,54.099998474,50.400001526,45,0
421,-0.400000006,-1.090000033,0.6700000167,62.700000763,43.700000763,47.099998474,52.599998474,0
422,0,0.0299999993,0.6700000167,62.700000763,64.5,38.299999237,55.799999237,1
423,0.4600000083,-0.469999999,0.6700000167,68,64.5,70.599998474,68.800003052,0
424,0.75,0.3400000036,1,47.400001526,41.700000763,51.599998474,38.5,1
425,1.3600000143,0.6499999762,1,46.900001526,51.5,57,49.799999237,1
426,0.6800000072,0.8700000048,1,54.799999237,56.700000763,56.900001526,58,0
427,0.0500000007,-0.879999995,0.6700000167,62.700000763,63.200000763,74.599998474,71.5,0
428,-0.839999974,0.0299999993,0,36.299999237,59.299999237,47.700000763,39,1
429,1.1299999952,0.5600000024,1,60.099998474,48.900001526,50.400001526,55.299999237,0
430,1.1299999952,0.6299999952,0.6700000167,60.099998474,64.5,57.900001526,60.700000763,0
431,0.5500000119,-0.600000024,1,54.799999237,54.099998474,51.299999237,41.700000763,1
432,0.0599999987,0.0299999993,1,44.200000763,54.099998474,51.400001526,39,0
433,-0.639999986,0.0299999993,1,41.599998474,46.299999237,38.400001526,36.299999237,1
434,0.4799999893,0.0299999993,1,65.400001526,61.900001526,60.400001526,63.400001526,1
435,-0.189999998,-0.850000024,0,54.799999237,60.599998474,55.5,58,1
436,0.200000003,-2.539999962,0,54.799999237,61.900001526,63.599998474,63.400001526,0
437,-0.600000024,-0.25999999,0.6700000167,49.5,41.099998474,38.400001526,52.599998474,1
438,-1.330000043,0.0299999993,1,36.299999237,28.100000381,53.700000763,33.599998474,0
439,0.6800000072,0.8799999952,1,46.900001526,61.900001526,53,52.599998474,1
440,1.3600000143,0.9399999976,1,52.099998474,48.900001526,51.299999237,41.700000763,1
441,0.8899999857,0.6499999762,0.6700000167,68,48.900001526,56.299999237,63.400001526,1
442,-0.140000001,0.1299999952,0.6700000167,41.599998474,56.700000763,51.299999237,47.099998474,1
443,-0.430000007,-1.220000029,0,41.599998474,46.900001526,55.5,44.400001526,0
444,0.0399999991,0.0299999993,0.6700000167,65.400001526,51.5,61.200000763,68.800003052,0
445,0.4399999976,-0.159999996,0.6700000167,62.700000763,48.900001526,48.799999237,66.099998474,0
446,0.6499999762,-0.300000012,1,60.099998474,61.900001526,74.599998474,58,0
447,-1.330000043,0.6499999762,0,40.5,38.5,47.099998474,44.400001526,0
448,0.6800000072,1.1900000572,0.3300000131,41.599998474,41.099998474,57.200000763,71.5,0
449,0.1000000015,0.0299999993,0,62.700000763,48.900001526,42.099998474,66.099998474,0
450,0.5,0.0299999993,0.6700000167,68,59.299999237,58.799999237,66.099998474,1
451,0.0199999996,-0.319999993,1,46.900001526,46.299999237,52,47.700000763,1
452,0.0599999987,0.0299999993,1,41.599998474,46.299999237,46.200000763,39,1
453,-0.829999983,0.6499999762,0.3300000131,44.200000763,59.299999237,55.5,36.299999237,1
454,0.9100000262,0.150000006,0,54.799999237,56.700000763,55.5,58,1
455,0.0599999987,0.5899999738,1,52.099998474,51.5,45.400001526,39,1
456,-1.570000052,0.6499999762,0.3300000131,52.099998474,56.700000763,45.200000763,55.299999237,0
457,-1.330000043,0.0299999993,0.3300000131,38.900001526,30.700000763,40.400001526,39,0
458,0.4600000083,0.6499999762,1,49.5,48.900001526,60.5,55.299999237,0
459,0.0299999993,0.0299999993,1,41.599998474,43,44.5,39,1
460,-0.930000007,-0.219999999,0.6700000167,65.400001526,64.5,65.5,60.700000763,0
461,0.2399999946,-0.430000007,0.3300000131,70.699996948,43.700000763,58.799999237,66.099998474,0
462,0.3300000131,0.2800000012,0.6700000167,52.099998474,46.299999237,48.099998474,55.299999237,0
463,-0.109999999,0.25,1,44.200000763,44.299999237,45.599998474,39,0
464,0.9399999976,-0.300000012,1,60.099998474,67.099998474,52.400001526,55.299999237,1
465,0.75,-0.49000001,0.3300000131,41.599998474,41.099998474,41.200000763,44.400001526,0
466,0.3000000119,-0.600000024,1,49.5,59.299999237,53.099998474,60.700000763,1
467,1.1299999952,0.0299999993,1,38.900001526,54.099998474,47.5,49.799999237,0
468,-0.159999996,0.0299999993,0.3300000131,44.200000763,59.299999237,49.5,55.299999237,0
469,0.4600000083,0.6499999762,1,68,59.299999237,57.900001526,74.199996948,0
470,1.3600000143,0.9399999976,1,57.400001526,64.5,49.900001526,55.299999237,1
471,0.4600000083,0.3199999928,0.6700000167,49.5,54.099998474,47.799999237,60.700000763,1
472,-0.400000006,-0.25999999,0.3300000131,52.099998474,54.099998474,55.299999237,52.599998474,1
473,0.0599999987,0.2800000012,1,60.099998474,59.299999237,56.200000763,60.700000763,1
474,-0.610000014,0.3600000143,0,44.200000763,48.900001526,46.099998474,47.099998474,1
475,0.7099999785,0.0299999993,1,54.799999237,61.200000763,53.700000763,48.799999237,0
476,0.2300000042,-0.25999999,0,52.099998474,61.900001526,56.299999237,58,1
477,0.4600000083,-0.280000001,1,57.400001526,56.700000763,56.400001526,63.400001526,1
478,0.6700000167,-0.589999974,0.6700000167,54.799999237,64.5,55.299999237,49.799999237,1
479,0.4600000083,0.0299999993,1,60.099998474,64.5,56.299999237,63.400001526,1
480,-0.879999995,-0.289999992,0.3300000131,44.200000763,54.099998474,41,49.799999237,0
481,0.8899999857,0.3400000036,0.3300000131,57.400001526,61.900001526,72.199996948,60.700000763,1
482,0.0599999987,-1.070000052,0,38.900001526,48.900001526,45.200000763,44.400001526,1
483,0.0599999987,-0.600000024,0.6700000167,62.700000763,56,57.299999237,60.700000763,1
484,-0.219999999,-2.269999981,0,57.400001526,51.5,40.299999237,60.700000763,1
485,0.7099999785,0.3400000036,0,62.700000763,64.5,57.400001526,60.700000763,1
486,0.5299999714,0.8100000024,0.6700000167,54.799999237,59.299999237,61.400001526,47.099998474,1
487,-0.469999999,-0.469999999,0,52.099998474,57.299999237,63.700000763,58,1
488,0.4300000072,-0.050000001,0.6700000167,54.799999237,45.599998474,51.799999237,60.700000763,0
489,-0.439999998,-1.129999995,1,54.799999237,61.900001526,69.599998474,60.700000763,1
490,-1.279999971,0.3400000036,0.3300000131,31,35.900001526,46.099998474,39,0
491,-0.140000001,0.5600000024,1,54.799999237,61.900001526,54.599998474,47.099998474,1
492,-0.140000001,-1.049999952,1,70.699996948,65.099998474,66.400001526,63.400001526,1
493,-0.860000014,0.2800000012,1,36.299999237,48.900001526,54.400001526,60.700000763,0
494,0.3000000119,0.0299999993,0.6700000167,36.799999237,59.299999237,40.700000763,49.799999237,1
495,0.6800000072,0.0299999993,1,65.400001526,64.5,51.299999237,66.099998474,0
496,0.2300000042,0.0299999993,1,52.099998474,59.299999237,52.900001526,60.700000763,1
497,0,-0.180000007,0,62.700000763,59.299999237,55.5,45.5,1
498,0.2599999905,0.0299999993,1,62.700000763,59.299999237,53.200000763,63.400001526,0
499,-1.580000043,-0.25999999,0.3300000131,62.700000763,48.900001526,35.299999237,66.099998474,0
500,0.0599999987,0.2800000012,1,65.900001526,63.200000763,50.299999237,60.099998474,1
501,0.9100000262,0.5899999738,1,65.400001526,67.099998474,67.099998474,66.099998474,0
502,0.2800000012,0.3199999928,1,52.099998474,54.099998474,56.5,55.299999237,0
503,-0.189999998,-0.730000019,0.6700000167,73.300003052,60.599998474,64.699996948,66.099998474,0
504,1.3600000143,0.6299999952,1,62.700000763,61.900001526,68.599998474,68.800003052,0
505,0.7099999785,1.1900000572,0.3300000131,54.799999237,59.299999237,62.5,68.800003052,0
506,0.25,-0.469999999,0.3300000131,76,67.099998474,72.199996948,66.099998474,1
507,-0.400000006,-0.75999999,0.6700000167,52.099998474,35.900001526,50.299999237,47.099998474,0
508,0.6800000072,-0.469999999,0.3300000131,46.900001526,61.900001526,60.5,68.800003052,0
509,-0.409999996,0.3400000036,0.6700000167,52.099998474,38.5,57.900001526,52.599998474,0
510,-0.860000014,1.1900000572,0.3300000131,33.599998474,28.100000381,31.799999237,39.599998474,0
511,-0.439999998,1.1900000572,1,60.099998474,54.099998474,59.599998474,55.299999237,0
512,-1.100000024,0.0299999993,1,38.900001526,38.5,42.799999237,41.700000763,0
513,0.0599999987,0.3199999928,0.6700000167,49.5,43.700000763,55.5,68.800003052,0
514,0.0599999987,0.0299999993,0,46.900001526,51.5,57.200000763,52.599998474,0
515,0.6800000072,-0.25999999,1,62.700000763,61.900001526,56.200000763,47.099998474,0
516,0.6600000262,0.0299999993,0.3300000131,65.400001526,59.299999237,67.099998474,66.099998474,0
517,0.2599999905,0.8700000048,1,49.5,61.900001526,61.400001526,63.400001526,1
518,0.0599999987,0.0299999993,1,54.799999237,41.099998474,42.799999237,47.099998474,0
519,0.3199999928,1.1900000572,1,57.400001526,61.900001526,64,55.799999237,0
520,0.0599999987,0.0299999993,0.3300000131,68,59.299999237,71.300003052,66.099998474,0
521,0.4600000083,0.3400000036,1,52.099998474,46.299999237,50.400001526,52.599998474,0
522,0,0.6499999762,1,52.099998474,61.900001526,62.099998474,58,0
523,0.6800000072,0.3199999928,1,36.299999237,56.700000763,41.900001526,49.799999237,1
524,-0.660000026,-1.070000052,0.6700000167,49.5,61.900001526,60.400001526,47.099998474,1
525,0.4799999893,-0.819999993,0.3300000131,62.700000763,64.5,58.200000763,61.799999237,1
526,0.7099999785,0.0299999993,0.3300000131,46.900001526,46.900001526,41,41.700000763,0
527,1.3600000143,-1.179999948,1,62.700000763,61.900001526,63.099998474,60.700000763,1
528,-0.189999998,1.1900000572,1,60.099998474,61.900001526,54.599998474,60.700000763,1
529,0.5500000119,0.6299999952,1,54.799999237,59.299999237,62.299999237,58,0
530,0.2599999905,0.9399999976,1,60.099998474,59.299999237,51.799999237,53.099998474,1
531,0.6800000072,0.0599999987,0.6700000167,49.5,51.5,41.200000763,41.700000763,1
532,0,0.3400000036,0.3300000131,46.900001526,56.700000763,57.200000763,58,0
533,-0.170000002,0.0299999993,0.6700000167,44.200000763,59.299999237,45.700000763,55.299999237,1
534,0.0599999987,0.5600000024,1,49.5,56.700000763,46.200000763,55.299999237,0
535,0.5199999809,0.3400000036,1,46.900001526,64.5,59.599998474,49.799999237,1
536,0.9100000262,-1.669999957,0.3300000131,57.400001526,54.099998474,54.799999237,60.700000763,1
537,-0.400000006,0.6499999762,0,52.099998474,46.299999237,51.299999237,58,0
538,0.4600000083,-0.219999999,1,70.699996948,64.5,68.699996948,58,1
539,-0.400000006,-1.340000033,1,57.400001526,61.900001526,55.5,49.799999237,1
540,0.7099999785,1.1900000572,0.6700000167,54.799999237,48.900001526,52.400001526,58,0
541,-0.140000001,0.3400000036,0.3300000131,49.5,46.299999237,44.799999237,58,0
542,0.5199999809,0.0299999993,1,46.900001526,51.5,53.700000763,41.700000763,1
543,-0.469999999,0.2800000012,1,65.400001526,61.900001526,47.099998474,60.700000763,1
544,0.9599999785,0.0299999993,0.6700000167,44.200000763,51.5,43.200000763,44.400001526,1
545,0.9100000262,-0.469999999,1,46.900001526,64.5,55.799999237,61.799999237,1
546,0.0199999996,-0.140000001,0,60.099998474,64.5,67,58.5,1
547,0.4699999988,0.0299999993,0.6700000167,62.700000763,59.299999237,48.799999237,55.299999237,0
548,0.4699999988,0.3400000036,0.6700000167,33.599998474,43,41,49.799999237,1
549,0.4600000083,0.0299999993,1,41.599998474,64.5,47.099998474,53.099998474,1
550,1.1299999952,0.8799999952,0.3300000131,49.5,51.5,52.700000763,55.299999237,1
551,0.9599999785,0.6299999952,1,65.400001526,64.5,70.300003052,66.099998474,0
552,0.5,-0.219999999,1,54.799999237,61.900001526,61.299999237,60.700000763,1
553,0.7099999785,0.2800000012,0.6700000167,62.700000763,56.700000763,54.700000763,58,0
554,-0.140000001,-0.600000024,0.3300000131,44.200000763,48.900001526,54.299999237,49.799999237,1
555,0.0599999987,1.1900000572,1,65.400001526,64.5,67.900001526,63.400001526,0
556,0.8700000048,0.8700000048,0.6700000167,57.400001526,61.900001526,62.799999237,55.299999237,1
557,1.1599999666,1.1900000572,1,60.099998474,59.299999237,55.299999237,58,1
558,0.4600000083,0.5600000024,0.6700000167,44.200000763,54.099998474,52.200000763,44.400001526,1
559,0.2700000107,0.0299999993,0.6700000167,57.400001526,41.099998474,57,55.299999237,1
560,-0.189999998,-1.730000019,1,44.700000763,47.599998474,50.299999237,39,1
561,0.6800000072,0.0299999993,1,44.200000763,48.900001526,46.200000763,47.700000763,1
562,0.2300000042,0.0299999993,1,62.700000763,61.900001526,55.5,55.299999237,1
563,0.9100000262,0.0299999993,1,57.400001526,59.299999237,55.5,55.299999237,1
564,0.3199999928,-0.879999995,0.3300000131,57.400001526,54.099998474,42.200000763,44.400001526,0
565,0.7099999785,0.0299999993,0.3300000131,46.900001526,59.299999237,63,52.599998474,0
566,1.1100000143,0.3400000036,1,65.400001526,64.5,64.099998474,66.099998474,0
567,0.2599999905,-0.569999993,1,41.599998474,58.599998474,54.599998474,55.299999237,1
568,0,0.3400000036,0.3300000131,46.900001526,59.299999237,53.700000763,58,1
569,0.200000003,-0.469999999,0.6700000167,56.400001526,49.5,51.900001526,47.099998474,0
570,-0.839999974,-2.599999905,0.3300000131,44.200000763,64.5,53,55.299999237,1
571,1.1599999666,0.0900000036,1,46.900001526,52.099998474,42.5,47.700000763,1
572,0.2300000042,0.150000006,0.3300000131,49.5,51.5,48,52.599998474,0
573,-0.230000004,0.6899999976,0.6700000167,46.900001526,61.900001526,48,39,1
574,0.0299999993,0.5600000024,0.6700000167,65.400001526,67.099998474,63,66.099998474,0
575,0.6800000072,0.0299999993,0,44.200000763,35.900001526,43.599998474,47.099998474,1
576,0.4300000072,-1.090000033,0.6700000167,63.299999237,64.5,52.099998474,58,1
577,0.4699999988,0.3400000036,0.6700000167,44.200000763,48.900001526,48,39,1
578,-0.589999974,0.2800000012,1,46.900001526,51.5,48.5,49.799999237,1
579,-0.379999995,0.0299999993,1,45.299999237,38.5,43.5,40.099998474,1
580,0.7300000191,0.0299999993,1,62.700000763,62.5,68.900001526,60.700000763,1
581,-0.660000026,-0.469999999,1,52.700000763,41.099998474,40.200000763,58,0
582,0.1000000015,-0.159999996,0.3300000131,49.5,59.299999237,51,47.099998474,0
583,-1.330000043,0.0299999993,0.6700000167,57.400001526,56.700000763,59.799999237,58,0
584,0.2199999988,1.1900000572,1,57.400001526,54.099998474,48.799999237,55.299999237,0
585,0.1000000015,0.5600000024,0.6700000167,54.799999237,61.900001526,60.400001526,55.299999237,0
586,0.7099999785,-0.059999999,0.6700000167,44.200000763,37.799999237,49.200000763,39,0
587,0.6800000072,-0.529999971,1,48.400001526,48.200000763,60.5,60.099998474,0
588,-0.930000007,-0.800000012,0.3300000131,52.099998474,51.5,49.5,55.299999237,0
589,-0.600000024,0.3400000036,0,49.5,41.700000763,50.299999237,36.299999237,0
590,0.0599999987,0.0299999993,0.6700000167,46.900001526,56.700000763,56.099998474,60.700000763,0
591,1.1399999857,0.6299999952,1,55.299999237,53.400001526,44.5,53.599998474,1
592,0.0599999987,0.0299999993,0.6700000167,46.900001526,60.599998474,51.299999237,63.400001526,1
593,-1.090000033,-0.25999999,0.3300000131,44.200000763,41.099998474,45.099998474,47.099998474,0
594,0.0199999996,0.2800000012,0.6700000167,44.200000763,51.5,52.900001526,52.599998474,0
595,0,0.0299999993,0.3300000131,52.099998474,59.299999237,50.400001526,60.700000763,0
596,0.2700000107,-1.049999952,0.3300000131,60.099998474,54.099998474,56.299999237,55.299999237,0
597,0.5500000119,0.3400000036,1,62.700000763,61.900001526,72.900001526,63.400001526,0
598,-0.610000014,0.3400000036,0.6700000167,68,54.099998474,74.599998474,66.099998474,0
599,0.2300000042,0.9399999976,1,57.400001526,67.099998474,57.900001526,60.700000763,1
600,0.0199999996,0.0299999993,0.3300000131,62.700000763,54.099998474,64.699996948,58,0
